Número Município Nome                        Aponds
   473 3145604   Oliveira                         2
   474 3145901   Ouro Branco                      2
   475 3146008   Ouro Fino                        2
   476 3146107   Ouro Preto                       2
   477 3147006   Paracatu                         4
   478 3147105   Pará de Minas                    4
   479 3147907   Passos                           6
   480 3148004   Patos de Minas                   9
   481 3148103   Patrocínio                       4
   482 3149309   Pedro Leopoldo                   3
   483 3151206   Pirapora                         2
   484 3151503   Piumhi                           2
   485 3151800   Poços de Caldas                  9
   486 3152105   Ponte Nova                       3
   487 3152204   Porteirinha                      2
   488 3152501   Pouso Alegre                     6
   489 3154606   Ribeirão das Neves              20
   490 3156700   Sabará                           6
   491 3157005   Salinas                          2
   492 3157807   Santa Luzia                     12
   493 3159605   Santa Rita do Sapucaí            2
   494 3160405   Santo Antônio do Monte           2
   495 3160702   Santos Dumont                    2
   496 3161106   São Francisco                    2
   497 3162104   São Gotardo                      2
   498 3162500   São João del Rei                 5
   499 3163706   São Lourenço                     2
   500 3164704   São Sebastião do Paraíso         3
   501 3167202   Sete Lagoas                     13
   502 3168002   Taiobeiras                       2
   503 3168606   Teófilo Otoni                    6
   504 3168705   Timóteo                          4
   505 3169307   Três Corações                    3
   506 3169406   Três Pontas                      2
   507 3169604   Tupaciguara                      2
   508 3169901   Ubá                              6
   509 3170107   Uberaba                         16
   510 3170206   Uberlândia                      17
   511 3170404   Unaí                             4
   512 3170701   Varginha                         7
   513 3170800   Várzea da Palma                  2
   514 3171204   Vespasiano                       5
   515 3171303   Viçosa                           4
   516 3172004   Visconde do Rio Branco           2
   517 3200102   Afonso Cláudio                   2
   518 3200201   Alegre                           2
   519 3200607   Aracruz                          4
   520 3200805   Baixo Guandu                     2
   521 3200904   Barra de São Francisco           2
   522 3201209   Cachoeiro de Itapemirim          9
   523 3201308   Cariacica                       15
   524 3201407   Castelo                          2
   525 3201506   Colatina                         7
   526 3201605   Conceição da Barra               2
   527 3201902   Domingos Martins                 2
   528 3202306   Guaçuí                           2
   529 3202405   Guarapari                        6
   530 3202801   Itapemirim                       2
   531 3203007   Iúna                             2
   532 3203205   Linhares                         7
   533 3203320   Marataízes                       2
   534 3203908   Nova Venécia                     2
   535 3204559   Santa Maria de Jetibá            2
   536 3204708   São Gabriel da Palha             2
   537 3204906   São Mateus                       6
   538 3205002   Serra                           21
   539 3205101   Viana                            3
   540 3205200   Vila Velha                      19
   541 3205309   Vitória                         14
   542 3300100   Angra dos Reis                   7
   543 3300209   Araruama                         6
   544 3300233   Armação dos Búzios               2
   545 3300308   Barra do Piraí                   6
   546 3300407   Barra Mansa                      9
   547 3300456   Belford Roxo                     5
   548 3300605   Bom Jesus do Itabapoana          2
   549 3300704   Cabo Frio                        9
   550 3300803   Cachoeiras de Macacu             2
   551 3301009   Campos dos Goytacazes            9
   552 3301306   Casimiro de Abreu                2
   553 3301702   Duque de Caxias                 23
   554 3301850   Guapimirim                       2
   555 3301900   Itaboraí                        12
   556 3302007   Itaguaí                          6
   557 3302205   Itaperuna                        5
   558 3302270   Japeri                           5
   559 3302403   Macaé                           12
   560 3302502   Magé                             7
   561 3302601   Mangaratiba                      2
   562 3302700   Maricá                           7
   563 3302858   Mesquita                         9
   564 3303203   Nilópolis                        9
   565 3303302   Niterói                         18
   566 3303401   Nova Friburgo                    9
   567 3303500   Nova Iguaçu                      9
   568 3303609   Paracambi                        2
   569 3303708   Paraíba do Sul                   2
   570 3303807   Parati                           2
   571 3303906   Petrópolis                      15
   572 3304144   Queimados                        7
   573 3304201   Resende                          6
   574 3304300   Rio Bonito                       3
   575 3304524   Rio das Ostras                   7
   576 3304557   Rio de Janeiro                 200
   577 3304706   Santo Antônio de Pádua           2
   578 3304755   São Francisco de Itabapoana      2
   579 3304805   São Fidélis                      2
   580 3304904   São Gonçalo                      5
   581 3305109   São João de Meriti               5
   582 3305208   São Pedro da Aldeia              4
   583 3305505   Saquarema                        4
